geo,name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.98,,,37.96,,,39.88
alb,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,44.9,42.22,42.14,40.76,35.63,39.5,40.93,37.43,37.88,39.6,40.03,40.65,41.21,
are,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.58,,,,,,,,,,,
arg,Argentina,,,,,,,,,,,,,,,,,,,,,,41.8,41.7,41.5,41.8,42,43.5,42.7,42.8,42.9,42.8,42.2,41.4,39.2,40,37.99,38.42,38.47,,38.93,37.95,38.28,38.35,37.73,37.48,37.03,,42.88,36.09,35.82,35.13,30.92
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,44,44.6,48.7,45.4,38,42.07,35.05,35.91,35.35,36.41,36.49,38.7,35.94,35.73,35.83,38.03,39.85,
aus,Australia,,,,,,,,,,,,,,,,,,,34.6,36.1,35.6,35.8,35.6,35.4,35.6,35.9,35.9,35.7,35.7,35.5,35.6,35.5,35.1,34.9,34.6,34.74,34.67,34.57,34.58,34.5,33.88,34.09,34.02,33.96,33.87,33.66,33.58,33.34,33.34,33.23,33.03,32.29
aut,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,40.57,40.16,40.68,40.45,40.16,40.02,39.92,39.41,39.26,39.92,39.1,38.89,38.42,38.08,37.08,36.93,37.03,36.67,36.41,35.91,35.58,35.59,35.42,35.63,35.7,34.16
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.08,34.62,,,33.69,36.76,36.78,36.86,36.88,36.86,36.88,
bdi,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.27,,,,,,
bel,Belgium,,,,,,,,,,,,,,,,,,,,,,,,39.39,37.85,37.54,38.1,38.04,38.19,38.82,37.12,36.99,36.75,36.89,36.66,36.56,36.98,37.13,37.39,37.08,37,37.36,37.21,36.99,37.29,37.34,37.32,37.35,36.67,36.59,36.45,35.71
ben,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.36,40.97,,,,,,,,,
bfa,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95,,,,,,
bgd,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77,,,,46,,,45.36,,,49,46.93,,,
bgr,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.63,41.21,41.24,39.96,40.71,40.7,41.15,41.21,41.13,40.42,40.55,40.28,40.17,40.02,40.08,40.19,40.25,40.02,39.93,39.68,39.42
bih,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.12,41.4,41.87,41.26,40.9,40.83,41.21,41.19,41.12,40.68,41.85,40.86,41.19,40.99,39.35
blr,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.69,36.46,36.46,34.7,35.1,35.4,35.5,34.93
blz,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,48.4,43,,40.33,39
bol,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,46.1,41.21,43.87,,,,,,,43.16,,,,,,,,,,40.44,
